Customer_ID,Unique_Transactions
CUST-000231,63
CUST-002741,60
CUST-001101,58
CUST-002280,45
CUST-003044,44
CUST-000642,43
CUST-002832,43
CUST-003381,43
CUST-002665,37
CUST-002247,35
CUST-000103,35
CUST-003361,33
CUST-000462,33
CUST-001610,33
CUST-002159,32
CUST-003136,32
CUST-002270,32
CUST-002481,32
CUST-003327,31
CUST-002536,31
CUST-000634,31
CUST-002322,30
CUST-003365,30
CUST-000208,30
CUST-002679,30
CUST-002966,30
CUST-001741,30
CUST-002714,29
CUST-003111,29
CUST-001343,29
CUST-001503,29
CUST-003147,29
CUST-003385,29
CUST-002616,28
CUST-001352,28
CUST-002223,28
CUST-001909,28
CUST-002911,28
CUST-002023,28
CUST-001193,28
CUST-002185,27
CUST-002385,27
CUST-000453,27
CUST-001750,27
CUST-002341,27
CUST-002870,27
CUST-002897,26
CUST-002250,26
CUST-002538,26
CUST-000115,26
CUST-001961,26
CUST-000454,26
CUST-001042,26
CUST-003266,26
CUST-000156,26
CUST-002784,26
CUST-002990,25
CUST-002022,25
CUST-001812,25
CUST-000141,25
CUST-000309,25
CUST-001997,25
CUST-001474,25
CUST-000498,25
CUST-000819,25
CUST-000684,24
CUST-003348,24
CUST-000013,24
CUST-002329,24
CUST-001515,24
CUST-000206,24
CUST-002308,24
CUST-002405,24
CUST-000485,24
CUST-000031,23
CUST-000079,23
CUST-000762,23
CUST-003064,23
CUST-002266,23
CUST-000251,23
CUST-002460,23
CUST-003313,23
CUST-003003,23
CUST-002928,23
CUST-003209,23
CUST-000909,23
CUST-001634,23
CUST-000450,22
CUST-000861,22
CUST-000710,22
CUST-001763,22
CUST-001294,22
CUST-001711,22
CUST-002666,22
CUST-001429,22
CUST-001864,22
CUST-002503,22
CUST-001916,22
CUST-002344,22
CUST-001932,22
CUST-002962,22
CUST-001426,22
CUST-002904,22
CUST-001432,22
CUST-001233,22
CUST-000445,21
CUST-002967,21
CUST-000305,21
CUST-000285,21
CUST-002683,21
CUST-000676,21
CUST-000714,21
CUST-000633,21
CUST-000169,21
CUST-002353,21
CUST-001223,21
CUST-000970,21
CUST-001052,21
CUST-002878,21
CUST-001945,21
CUST-002839,21
CUST-003042,21
CUST-000228,21
CUST-001498,21
CUST-001642,21
CUST-001743,21
CUST-000385,21
CUST-001729,21
CUST-000802,20
CUST-003197,20
CUST-001090,20
CUST-002793,20
CUST-003370,20
CUST-001338,20
CUST-000739,20
CUST-003286,20
CUST-001775,20
CUST-003113,20
CUST-001976,20
CUST-000279,20
CUST-003151,20
CUST-000472,20
CUST-000489,20
CUST-002701,20
CUST-000245,20
CUST-002905,20
CUST-000503,20
CUST-001121,20
CUST-002312,20
CUST-002307,20
CUST-001590,20
CUST-002061,19
